"LouwNida_Code","SemDom","SemDom_Name"
"1 Geographical Objects and Features","1.2;1.2.1","Land;World"
"10 Kinship Terms","4.1.9","Kinship"
"10A Groups and Members of Groups of Persons Regarded as Related by Blood but without Special Reference to Successive Generations","4.1.9.1","Related by birth"
"10B Kinship Relations Involving Successive Generations","4.1.9.1","Related by birth"
"10C Kinship Relations of the Same Generation","4.1.9.1.3","Brother, sister"
"10D Kinship Relations Based upon Marriage","4.1.9.2","Related by marriage"
"11 Groups and Classes of Persons and Members of Such Groups and Classes","4.2.1.7","Crowd, group"
"11A General","4.2.1.7","Crowd, group"
"11B Socio-Religious","4.9.7","Religious organization"
"11C Socio-Political","4.6.6.5","Politics"
"11D Ethnic-Cultural","4.1.9.8","Family, clan"
"11E Philosophical","3.2.5.5","Philosophy"
"12 Supernatural Beings and Powers","4.9;4.9.2","Religion;Supernatural being"
"12A Supernatural Beings","4.9.2","Supernatural being"
"12B Supernatural Powers","4.9.4","Miracle, supernatural power"
"13 Be, Become, Exist, Happen","9;9.1","General words;Grammar"
"13A State","8;9.1.1","Be;States"
"13B Change of State","9.1.1.2","Become, change state"
"13C Exist","9.1.1.1","Exist"
"13D Happen","9.1.2.1","Happen"
"14 Physical Events and States","1","Universe, creation"
"14A Weather","1.1.3","Weather"
"14B Wind","1.1.3.1","Wind"
"14C Rain","1.1.3.3","Rain"
"14D Thunder and Lightning","1.1.3.6","Lightning, thunder"
"14E Events Involving Liquids and Dry Masses","1.3.2","Movement of water"
"14F Light","8.3.3","Light"
"14G Darkness","8.3.3.2","Dark"
"14H Burning","5.5.4","Burn"
"14I Sound","2.3.2.3","Types of sounds"
"14J Movement of the Earth x","1.2.1.7","Earthquake"
"15 Linear Movement","7.2","Move"
"15A Move, Come/Go","7.2","Move"
"15A' Movement with Speed x","7.2.1.2","Move quickly"
"15B Travel, Journey","7.2.4","Travel"
"15B' Goal-Oriented Movement","7.2.1.2","Move quickly"
"15C Pass, Cross Over, Go Through, Go Around","7.2.3.5","Move past, over, through"
"15C' Walk, Step x","7.2.1;7.2.1.1","Manner of movement;Walk"
"15D Leave, Depart, Flee, Escape, Send","7.2.3.3;7.3.3.3","Leave;Send"
"15D' Run x","7.2.1.1.1","Run"
"15E Come Near, Approach","7.2.3","Move toward something"
"15E' Jump, Leap x","7.2.1.1.3","Jump"
"15F Come, Come To, Arrive","7.2.3.3.1","Arrive"
"15F' Dance","4.2.4","Dance"
"15G Return","7.2.3.6","Return"
"15G' Fly","7.2.4.3","Fly"
"15H Come/Go Into","7.2.3.4","Move in"
"15H' Swim","7.2.4.2.2","Swim"
"15I Come/Go Onto","7.2.2;7.2.2.4","Move in a direction;Move up"
"15I' Roll","7.2.2.7","Move in a circle"
"15J Come/Go Up, Ascend","7.2.2;7.2.2.4","Move in a direction;Move up"
"15K Come/Go Down, Descend","7.2.2.5","Move down"
"15L Fall","7.2.2.5.1","Fall"
"15M Gather, Cause to Come Together","7.5.1","Gather"
"15N Disperse, Scatter","7.5.1.1","Separate, scatter"
"15O Come/Go Prior To","7.2.5.1;8.4.5.2","Before;Go first"
"15P Come/Go In Front Of","7.2.5.1","Go first"
"15Q Come/Go Behind","7.2.5.2","Follow"
"15R Go Around, Surround","7.2.2.7;7.2.4","Move in a circle;Travel"
"15S Come/Go With, Travel With","7.2.5;7.2.5.3","Accompany;Guide"
"15T Follow, Accompany","7.2.5;7.2.5.2","Accompany;Follow"
"15U Pursue, Follow","7.2.6","Pursue"
"15V Drive Along, Carry Along","7.3.3.5","Drive along"
"15W Lead, Bring, Take","7.3.3","Take somewhere"
"15X Carry, Bear","7.3;7.3.1","Carry;Move something"
"15Y Pull, Draw, Drag x","7.3.2.8","Pull"
"15Z Throw, Hurl","7.3.1.1","Throw"
"16 Non-Linear Movement","7.2;7.2.2.8;7.3.1.3;7.3.4.7;7.3.5","Extend;Move;Move back and forth;Shake;Turn something"
"17 Stances and Events Related to Stances","7;7.1","Physical actions;Posture"
"17A Stand x","7.1.1","Stand"
"17B Sit x","7.1.2","Sit"
"17C Kneel x","7.1.4","Kneel"
"17D Prostrate x","8.3.1.4","Horizontal"
"17E Prostrate as an Act of Reverence or Supplication x","7.1.5","Bow"
"17F Recline x","7.1.3","Lie down"
"17G Lie x","7.1.3","Lie down"
"17H Bend Over, Straighten Up x","7.1.8","Bend down"
"18 Attachment","7.3.4.4;7.5.2;7.5.4","Hold;Join, attach;Tie"
"18A Grasp, Hold","7.3.4.4","Hold"
"18B Fasten, Stick To","7.3.2;7.3.2.4;7.3.2.4.1;7.5.2;7.5.4","Hang;Join, attach;Lift;Move something in a direction;Tie"
"19 Physical Impact","7.7","Physical impact"
"19A Hit, Strike","7.7.1","Hit"
"19B Pierce, Cut","7.8.3;7.8.5","Cut;Make hole, opening"
"19C Split, Tear","7.8.4","Tear, rip"
"19D Break, Break Through","7.8.1","Break"
"19E Press","7.7.4","Press"
"19F Dig","7.8.6","Dig"
"1A Universe, Creation","1","Universe, creation"
"1B Regions Above the Earth","1.1","Sky"
"1C Regions Below the Surface of the Earth","1.2.1.5;4.9.6","Heaven, hell;Underground"
"1D Heavenly Bodies","1.1.1","Sun"
"1E Atmospheric Objects","1.1.3.2","Cloud"
"1F The Earth's Surface","1.2;1.2.1","Land;World"
"1G Elevated Land Formations","1.2.1.1","Mountain"
"1H Depressions and Holes","1.2.1.4;1.2.1.5;8.3.2.5","Furrow;Underground;Valley"
"1I Land in Contrast With the Sea","1.3.1.5","Island, shore"
"1J Bodies of Water","1.3.1","Bodies of water"
"1K Sociopolitical Areas","4.6.7","Region"
"1L Governmental Administrative Areas","4.6.7.1","Country"
"1M Areas Which Are Uninhabited or Only Sparsely Populated","4.6.7.3","Countryside"
"1N Population Centers","4.6.7.2","City"
"1O Pastures and Cultivated Lands","6.2.9;6.3","Animal husbandry;Farmland"
"1P Thoroughfares: Roads, Streets, Paths, etc.","6.5.4;6.5.4.1","Infrastructure;Road"
"2 Natural Substances","1.2.2","Substance, matter"
