Term_Id	Term	Gloss	Domain	Refs
Ἀαρών	Ἀαρών	Aaron	person	LUK 1:5!44
Ἀβιά-2	Ἀβιά	Abijah	person	LUK 1:5!30
Ἀβιληνή	Ἀβιληνή	Abilene	area	LUK 3:1!66
Ἀβραάμ	Ἀβραάμ	Abraham	person	LUK 1:55!16; LUK 1:73!10; LUK 3:8!32; LUK 3:8!62; LUK 3:34!12; LUK 13:16!8; LUK 13:28!24; LUK 16:22!30; LUK 16:23!26; LUK 16:24!12; LUK 16:25!6; LUK 16:29!6; LUK 16:30!12; LUK 19:9!36; LUK 20:37!34
ἀγαθοποιέω	ἀγαθοποιέω	do good; perform good deeds	morals and ethics	LUK 6:9!26; LUK 6:33!8; LUK 6:33!12; LUK 6:35!14
ἀγαθός	ἀγαθός	good; goodness; good act	morals and ethics	LUK 6:45!4; LUK 6:45!12; LUK 6:45!24; LUK 10:42!16; LUK 18:18!16; LUK 18:19!18; LUK 18:19!22; LUK 19:17!10; LUK 23:50!20
ἀγαπάω	ἀγαπάω	to love	affection	LUK 6:27!12; LUK 6:32!6; LUK 6:32!10; LUK 6:32!32; LUK 6:32!36; LUK 6:35!4; LUK 7:5!2; LUK 7:42!22; LUK 7:47!24; LUK 7:47!38; LUK 10:27!10; LUK 11:43!12; LUK 16:13!30
ἀγαπητός	ἀγαπητός	beloved; dear	affection	LUK 3:22!48; LUK 20:13!28
ἀγάπη-1	ἀγάπη	love	affection	LUK 11:42!44
ἁγιάζω-3	ἁγιάζω	hallow, regard as holy	clean, pure, holy	LUK 11:2!16
Ἀδάμ	Ἀδάμ	Adam	person	LUK 3:38!12
Ἀδδί	Ἀδδί	Addi	person	LUK 3:28!8
ἀδελφή	ἀδελφή	sister (in Christ)	people; kinship; affection	LUK 10:39!8; LUK 10:40!34; LUK 14:26!52
ἀδελφός	ἀδελφός	brother (in Christ)	people; kinship; affection	LUK 8:21!20; LUK 22:32!36
ἀδικέω	ἀδικέω	act unjustly; do what is wrong; mistreat	morals and ethics	LUK 10:19!48
ἀδικία	ἀδικία	unjust deed; unrighteousness; doing what is unjust	morals and ethics	LUK 13:27!30; LUK 16:8!16; LUK 16:9!24; LUK 18:6!20
Ἀδμίν	Ἀδμίν	Admin	person	LUK 3:33!8
ἀετός	ἀετός	eagle; vulture	birds	LUK 17:37!34
αἰών	αἰών	universe; age; era	universe	LUK 16:8!32; LUK 18:30!26; LUK 20:34!18; LUK 20:35!10
αἰώνιος	αἰώνιος	eternal	time	LUK 10:25!26; LUK 16:9!40; LUK 18:18!24; LUK 18:30!34
αἷμα	αἷμα	blood; murder; death	life and death; body; parts	LUK 8:43!12; LUK 8:44!30; LUK 11:50!8; LUK 11:51!4; LUK 11:51!10; LUK 13:1!30; LUK 22:20!34
ἀκάθαρτος	ἀκάθαρτος	unclean; impure	clean, pure, holy	LUK 4:33!20
ἀλάβαστρος	ἀλάβαστρος	alabaster jar	artifacts	LUK 7:37!40
ἀλείφω	ἀλείφω	anoint	anoint; perfumes and spices	LUK 7:38!58; LUK 7:46!12; LUK 7:46!20
ἀλέκτωρ	ἀλέκτωρ	rooster; cock	birds; domestic animals	LUK 22:34!20; LUK 22:60!32; LUK 22:61!42
ἀληθινός	ἀληθινός	true; real	truth	LUK 16:11!22
ἀληθῶς	ἀληθῶς	truly; genuine	truth	LUK 9:27!8; LUK 12:44!2; LUK 21:3!6
ἀλήθεια	ἀλήθεια	truth; truthfulness	truth	LUK 4:25!4; LUK 20:21!36; LUK 22:59!22
Ἁλφαῖος-1	Ἁλφαῖος	Alphaeus	person	LUK 6:15!14
ἀλώπηξ	ἀλώπηξ	fox, jackal	mammals	LUK 9:58!14; LUK 13:32!14
ἁμαρτάνω	ἁμαρτάνω	sin, do wrong	morals and ethics	LUK 15:18!22; LUK 15:21!14; LUK 17:3!8; LUK 17:4!12
ἁμαρτία	ἁμαρτία	sin, wrongdoing	morals and ethics	LUK 1:77!20; LUK 3:3!28; LUK 5:20!22; LUK 5:21!36; LUK 5:23!16; LUK 5:24!30; LUK 7:47!14; LUK 7:48!14; LUK 7:49!26; LUK 11:4!10; LUK 24:47!20
ἁμαρτωλός	ἁμαρτωλός	sinful; sinner	people; behavior; morals and ethics	LUK 5:8!30; LUK 5:30!40; LUK 5:32!12; LUK 6:32!28; LUK 6:33!28; LUK 6:34!26; LUK 6:34!28; LUK 7:34!38; LUK 7:37!18; LUK 7:39!54; LUK 13:2!20; LUK 15:1!20; LUK 15:2!24; LUK 15:7!24; LUK 15:10!26; LUK 18:13!52; LUK 19:7!16; LUK 24:7!24
ἀμήν	ἀμήν	truly, indeed; amen	truth	LUK 4:24!6; LUK 12:37!22; LUK 18:17!2; LUK 18:29!10; LUK 21:32!2; LUK 23:43!8
Ἀμιναδάβ	Ἀμιναδάβ	Amminadab	person	LUK 3:33!4
ἀμπελών	ἀμπελών	vineyard; orchard of grapevines	fruits	LUK 13:6!24; LUK 20:9!26; LUK 20:10!26; LUK 20:13!12; LUK 20:15!12; LUK 20:15!30; LUK 20:16!20
Ἀμώς	Ἀμώς	Amos	person	LUK 3:25!8
ἀνακρίνω	ἀνακρίνω	examine, question, discern, judge; be discerned (pass.)	intellect	LUK 23:14!36
ἀνάγαιον	ἀνάγαιον	upstairs room	constructions	LUK 22:12!8
ἀνάστασις	ἀνάστασις	resurrection	life and death	LUK 2:34!36; LUK 14:14!28; LUK 20:27!16; LUK 20:33!12; LUK 20:35!20; LUK 20:36!28
Ἀνδρέας	Ἀνδρέας	Andrew	person	LUK 6:14!14
ἀξίνη	ἀξίνη	axe	artifacts	LUK 3:9!10
ἀπ᾽ αἰῶνος, (ἀπὸ) τῶν αἰώνων, ἐκ τοῦ αἰῶνος	ἀπ᾽ αἰῶνος, (ἀπὸ) τῶν αἰώνων, ἐκ τοῦ αἰῶνος	since all time; from all ages past; from the beginning of time	time	LUK 1:70!16
ἀπαλλάσσω	ἀπαλλάσσω	set free; release; settle with	atone, forgive	LUK 12:58!30
ἀπιστέω	ἀπιστέω	disbelieve; be unfaithful	faith	LUK 24:11!22; LUK 24:41!6
ἀπογραφή	ἀπογραφή	census	census	LUK 2:2!4
ἀπογράφω	ἀπογράφω	register, put on a census list	census	LUK 2:1!24; LUK 2:3!8; LUK 2:5!2
