Greek_Word	Meaning	Is_Key_Term	Ln_Domain	SemDom	SemDom_Name	Total_Unique_References	Refs
Αἱ	unknown	no	92D	9.2;9.2.3	Part of speech;Pronouns	1	LUK 9:58!6
Αἶρε	unknown	no	20D	2.6.6.1	Kill	1	LUK 23:18!5
Αὐγούστου	unknown	no	93A	9.7.1	Name of a person	1	LUK 2:1!11
Βαραββᾶν	unknown	no	93A	9.7.1	Name of a person	1	LUK 23:18!11
Βαρθολομαῖον	unknown	no	93A	9.7.1	Name of a person	1	LUK 6:14!18
Βεελζεβοὺλ	Beelzebul	yes	93A	9.7.1	Name of a person	3	LUK 11:15!7; LUK 11:18!17; LUK 11:19!5
Βηθανίαν	unknown	no	93B	9.7.2	Name of a place	2	LUK 19:29!8; LUK 24:50!6
Βηθλέεμ	Bethlehem	yes	93B	9.7.2	Name of a place	2	LUK 2:15!20; LUK 2:4!19
Βηθσαϊδά	Bethsaida	yes	93B	9.7.2	Name of a place	2	LUK 10:13!6; LUK 9:10!18
Βηθφαγὴ	Bethphage	yes	93B	9.7.2	Name of a place	1	LUK 19:29!6
Βλέπεις	unknown	no	24A	2.3.1;2.5.4;2.5.4.1	Blind;Disabled;See	1	LUK 7:44!9
Βλέπετε	unknown	no	27F	3.1.2;3.1.2.1;3.1.2.3	Alert;Attention;Mental state	1	LUK 21:8!4
Βόος	unknown	no	93A	9.7.1	Name of a person	1	LUK 3:32!6
Γέγραπται	unknown	no	33E	3.5.7;3.5.7.1	Reading and writing;Write	3	LUK 19:46!3; LUK 4:4!7; LUK 4:8!7
Γαβριὴλ	Gabriel	yes	93A	9.7.1	Name of a person	2	LUK 1:19!9; LUK 1:26!10
Γαλιλαίαν	unknown	no	93B	9.7.2	Name of a place	2	LUK 2:39!13; LUK 4:14!12
Γαλιλαίας	unknown	no	93B	9.7.2	Name of a place	10	LUK 17:11!15; LUK 1:26!17; LUK 23:49!15; LUK 23:5!18; LUK 23:55!10; LUK 2:4!7; LUK 3:1!17; LUK 4:31!7; LUK 5:17!24; LUK 8:26!12
Γαλιλαίους	unknown	no	93B	9.7.2	Name of a place	1	LUK 13:2!14
Γαλιλαίων	unknown	no	93B	9.7.2	Name of a place	1	LUK 13:1!12
Γαλιλαίᾳ	Galilee	yes	93B	9.7.2	Name of a place	1	LUK 24:6!14
Γαλιλαῖοι	unknown	no	93B	9.7.2	Name of a place	1	LUK 13:2!8
Γαλιλαῖός	Galilean	yes	93B	9.7.2	Name of a place	2	LUK 22:59!19; LUK 23:6!8
Γεννήματα	unknown	no	23C;58D	2.6.3;8.3.5	Birth;Type, kind	1	LUK 3:7!9
Γεννησαρὲτ	Gennesaret	yes	93B	9.7.2	Name of a place	1	LUK 5:1!22
Γενομένης	unknown	no	13D	9.1.2.1	Happen	1	LUK 4:42!1
Γερασηνῶν	unknown	no	93B	9.7.2	Name of a place	2	LUK 8:26!7; LUK 8:37!10
Γυναῖκα	unknown	no	10D	4.1.9.2	Related by marriage	1	LUK 14:20!4
Γύναι	unknown	no	9C	1.6.7;2.6.5.2	Male and female animals;Woman	1	LUK 13:12!10
Δέξαι	unknown	no	18A	7.3.4.4	Hold	2	LUK 16:6!11; LUK 16:7!16
Δαιμόνιον	unknown	no	12A	4.9.2	Supernatural being	1	LUK 7:33!14
Δαυίδ	David	yes	93A	9.7.1	Name of a person	4	LUK 18:38!6; LUK 18:39!14; LUK 2:11!12; LUK 2:4!28
Δαυὶδ	David	yes	2E;93A	1.2.2.1;1.2.2.2;9.7.1	Rock;Soil, dirt;Name of a person	1	LUK 2:4!16
Δαυὶδ	David	yes	93A	9.7.1	Name of a person	8	LUK 1:27!10; LUK 1:32!16; LUK 1:69!8; LUK 20:41!10; LUK 20:42!3; LUK 20:44!1; LUK 3:31!10; LUK 6:3!13
Δείξατέ	unknown	no	28C	3.2.3.1	Known, unknown	1	LUK 20:24!1
Δεῖ	unknown	no	71E	9.4.2.3	Necessary	1	LUK 9:22!3
Διέλθωμεν	unknown	no	15A	7.2	Move	1	LUK 2:15!17
Διέλθωμεν	unknown	no	15C	7.2.3.5	Move past, over, through	1	LUK 8:22!20
Διδάσκαλε	unknown	no	33Q	3.6	Teach	12	LUK 10:25!9; LUK 11:45!8; LUK 12:13!8; LUK 18:18!7; LUK 19:39!11; LUK 20:21!5; LUK 20:28!2; LUK 20:39!7; LUK 21:7!5; LUK 3:12!10; LUK 7:40!15; LUK 9:38!9
Δοκεῖτε	unknown	no	31E	9.4.4.6;9.4.4.6.1	Think so;Unsure	1	LUK 13:2!5
Δοῦλοι	unknown	no	87E	4.5.4.4	Slave	1	LUK 17:10!12
Δόξα	unknown	no	87B	4.5.5	Honor	1	LUK 2:14!1
Δότε	unknown	no	57H	6.8.3;6.8.3.1;7.4;7.4.1	Give, donate;Give, hand to;Have, be with;Share wealth	1	LUK 9:13!5
Δύνοντος	unknown	no	15K	7.2.2.5	Move down	1	LUK 4:40!1
Δὸς	unknown	no	13D	9.1.2.1	Happen	1	LUK 14:9!10
Εἰ	unknown	no	89J	9.6.2.8	Condition	6	LUK 16:31!4; LUK 17:6!5; LUK 19:42!3; LUK 23:37!3; LUK 4:3!6; LUK 4:9!16
Εἰ	unknown	no	90F	9.5	Case	1	LUK 22:67!2
Εἰπὸν	unknown	no	33F	3.5.1	Say	1	LUK 20:2!6
Εἰρήνη	unknown	no	22G	4.4.1	Prosperity	1	LUK 10:5!9
Εἰσῆλθεν	unknown	no	15H	7.2.3.4	Move in	1	LUK 22:3!1
Εἰσῆλθεν	unknown	no	68A	8.4.6.1	Start something	1	LUK 9:46!1
Εἴ	unknown	no	89J	9.6.2.8	Condition	2	LUK 14:26!1; LUK 9:23!5
Εἴδομεν	unknown	no	24A	2.3.1;2.5.4;2.5.4.1	Blind;Disabled;See	1	LUK 5:26!14
Εἴρηται	unknown	no	33F	3.5.1	Say	1	LUK 4:12!8
Εἶπαν	unknown	no	33F	3.5.1	Say	1	LUK 18:26!1
Εἶπεν	unknown	no	33F	3.5.1	Say	12	LUK 12:13!1; LUK 12:22!1; LUK 12:41!1; LUK 15:11!1; LUK 17:1!1; LUK 17:22!1; LUK 18:28!1; LUK 18:9!1; LUK 20:41!1; LUK 20:42!8; LUK 24:44!1; LUK 6:39!1
Εἷς	unknown	no	60B	8.1.1.1	Cardinal numbers	1	LUK 23:39!1
Εὐθέως	unknown	no	67B	8.4.5	Relative time	1	LUK 17:7!17
Εὐκοπώτερον	unknown	no	22F	4.4.2	Trouble	1	LUK 16:17!1
Εὐλογημένη	unknown	no	88I	4.3.4	Do good to	1	LUK 1:42!7
Εὐλογημένος	unknown	no	"33C"""	4.9.4.3;4.9.4.4	Bless;Curse	2	LUK 13:35!18; LUK 19:38!2
Εὐλογητὸς	unknown	no	33K'	3.5.1.7	Praise	1	LUK 1:68!1
Εὖγε	unknown	no	65C	8.3.7	Good	1	LUK 19:17!4
Ζακχαῖε	unknown	no	93A	9.7.1	Name of a person	1	LUK 19:5!13
Ζακχαῖος	Zacchaeus	yes	93A	9.7.1	Name of a person	2	LUK 19:2!6; LUK 19:8!3
Ζαχαρία	unknown	no	93A	9.7.1	Name of a person	1	LUK 1:13!9
Ζαχαρίαν	unknown	no	93A	9.7.1	Name of a person	2	LUK 1:21!7; LUK 1:59!21
Ζαχαρίας	Zechariah	yes	93A	9.7.1	Name of a person	4	LUK 1:12!3; LUK 1:18!3; LUK 1:5!12; LUK 1:67!2
Ζαχαρίου	unknown	no	93A	9.7.1	Name of a person	3	LUK 11:51!6; LUK 1:40!6; LUK 3:2!12
Ζεβεδαίου	unknown	no	93A	9.7.1	Name of a person	1	LUK 5:10!8
Ζεύγη	unknown	no	60G	8.1.1.5	Numbered group	1	LUK 14:19!4
Ζηλωτὴν	unknown	no	11C	4.6.6.5	Politics	1	LUK 6:15!12
Ζοροβαβὲλ	Zerubbabel	yes	93A	9.7.1	Name of a person	1	LUK 3:27!6
Ηὐλήσαμεν	unknown	no	6L	4.2.3.5	Musical instrument	1	LUK 7:32!13
Θάρα	Terah	yes	93A	9.7.1	Name of a person	1	LUK 3:34!8
Θέλω	unknown	no	30D	3.3.1.4	Intend	1	LUK 5:13!8
Θέσθε	unknown	no	24B;29A	2.3.2;3.2.6.3	Hear;Memorize	1	LUK 9:44!1
Θεόφιλε	unknown	no	93A	9.7.1	Name of a person	1	LUK 1:3!11
Θυγάτηρ	unknown	no	9E	9.7.1	Name of a person	1	LUK 8:48!5
Θυγατέρες	unknown	no	11C	4.6.6.5	Politics	1	LUK 23:28!8
Θωμᾶν	unknown	no	93A	9.7.1	Name of a person	1	LUK 6:15!4
Κάθου	unknown	no	17B	7.1.2	Sit	1	LUK 20:42!13
Καί	unknown	no	91A	9.6.3.1	Markers of transition	1	LUK 21:5!1
Καίσαρι	unknown	no	37D;93A	4.6;4.6.4;9.7.1	Government;Rule;Name of a person	1	LUK 23:2!15
Καίσαρι	unknown	no	93A	9.7.1	Name of a person	2	LUK 20:22!3; LUK 20:25!10
Καίσαρος	unknown	no	37D;93A	4.6;4.6.4;9.7.1	Government;Rule;Name of a person	2	LUK 2:1!10; LUK 3:1!8
Καίσαρος	unknown	no	93A	9.7.1	Name of a person	2	LUK 20:24!12; LUK 20:25!9
Καλύψατε	unknown	no	79Y	7.3.7	Cover	1	LUK 23:30!12
Καλὸν	unknown	no	65C	8.3.7	Good	1	LUK 14:34!1
Κατακλίνατε	unknown	no	17F	7.1.3	Lie down	1	LUK 9:14!12
Καφαρναούμ	Capernaum	yes	93B	9.7.2	Name of a place	2	LUK 10:15!3; LUK 7:1!14
Καφαρναοὺμ	Capernaum	yes	93B	9.7.2	Name of a place	2	LUK 4:23!19; LUK 4:31!4
Καϊάφα	unknown	no	93A	9.7.1	Name of a person	1	LUK 3:2!5
Καϊνὰμ	Cainan	yes	93A	9.7.1	Name of a person	2	LUK 3:36!2; LUK 3:37!10
Καύσων	unknown	no	14H	5.5.4	Burn	1	LUK 12:55!7
Καὶ	unknown	no	89O	8.4.5.2.1	After	8	LUK 10:23!1; LUK 13:20!1; LUK 19:29!1; LUK 1:59!1; LUK 20:34!1; LUK 3:10!1; LUK 4:5!1; LUK 5:29!1
Καὶ	unknown	no	89Q	9.6.1;9.6.1.1	And, also;Coordinate relations	7	LUK 11:46!4; LUK 19:19!5; LUK 22:56!14; LUK 22:58!8; LUK 2:52!1; LUK 4:43!7; LUK 6:32!1
Καὶ	unknown	no	91A	9.6.3.1	Markers of transition	58	LUK 10:25!1; LUK 11:1!1; LUK 11:14!1; LUK 11:5!1; LUK 13:22!1; LUK 14:1!1; LUK 17:11!1; LUK 17:5!1; LUK 18:18!1; LUK 19:1!1; LUK 19:28!1; LUK 19:41!1; LUK 19:45!1; LUK 19:47!1; LUK 1:21!1; LUK 1:46!1; LUK 1:67!1; LUK 20:1!1; LUK 20:20!1; LUK 21:25!1; LUK 21:29!1; LUK 22:14!1; LUK 22:35!1; LUK 22:39!1; LUK 22:63!1; LUK 22:66!1; LUK 23:1!1; LUK 23:26!1; LUK 23:44!1; LUK 23:50!1; LUK 23:56!7; LUK 24:13!1; LUK 24:28!1; LUK 2:15!1; LUK 2:21!1; LUK 2:22!1; LUK 2:25!1; LUK 2:36!1; LUK 2:39!1; LUK 2:41!1; LUK 2:8!1; LUK 3:23!1; LUK 4:14!1; LUK 4:16!1; LUK 4:31!1; LUK 5:12!1; LUK 5:17!1; LUK 5:27!1; LUK 6:17!1; LUK 6:20!1; LUK 6:37!1; LUK 7:11!1; LUK 7:18!1; LUK 8:1!1; LUK 8:26!1; LUK 9:10!1; LUK 9:18!1; LUK 9:57!1
Καὶ	unknown	no	91B	9.6.3.2	Markers of emphasis	3	LUK 10:29!10; LUK 18:26!5; LUK 19:46!4
Κλεοπᾶς	Cleopas	yes	93A	9.7.1	Name of a person	1	LUK 24:18!5
Κρανίον	unknown	no	8B	2.1	Body	1	LUK 23:33!9
Κριτής	unknown	no	56E	4.7.6	Judge, render a verdict	1	LUK 18:2!2
Κυρηνίου	unknown	no	93A	9.7.1	Name of a person	1	LUK 2:2!8
Κυρηναῖον	unknown	no	93B	9.7.2	Name of a place	1	LUK 23:26!8
