Greek_Word	Ln_Decimal_Code	Total_Unique_References	Refs
Αἱ	92.24	1	LUK 9:58!6
Αἶρε	20.65	1	LUK 23:18!5
Αὐγούστου	93.52	1	LUK 2:1!11
Βαραββᾶν	93.59	1	LUK 23:18!11
Βαρθολομαῖον	93.62	1	LUK 6:14!18
Βεελζεβοὺλ	93.68	3	LUK 11:15!7; LUK 11:18!17; LUK 11:19!5
Βηθανίαν	93.427a	2	LUK 19:29!8; LUK 24:50!6
Βηθλέεμ	93.431	2	LUK 2:15!20; LUK 2:4!19
Βηθσαϊδά	93.432	2	LUK 10:13!6; LUK 9:10!18
Βηθφαγὴ	93.433	1	LUK 19:29!6
Βλέπεις	24.7	1	LUK 7:44!9
Βλέπετε	27.58	1	LUK 21:8!4
Βόος	93.79	1	LUK 3:32!6
Γέγραπται	33.54	3	LUK 19:46!3; LUK 4:4!7; LUK 4:8!7
Γαβριὴλ	93.81	2	LUK 1:19!9; LUK 1:26!10
Γαλιλαίαν	93.444a	2	LUK 2:39!13; LUK 4:14!12
Γαλιλαίας	93.444a	10	LUK 17:11!15; LUK 1:26!17; LUK 23:49!15; LUK 23:5!18; LUK 23:55!10; LUK 2:4!7; LUK 3:1!17; LUK 4:31!7; LUK 5:17!24; LUK 8:26!12
Γαλιλαίους	93.445	1	LUK 13:2!14
Γαλιλαίων	93.445	1	LUK 13:1!12
Γαλιλαίᾳ	93.444a	1	LUK 24:6!14
Γαλιλαῖοι	93.445	1	LUK 13:2!8
Γαλιλαῖός	93.445	2	LUK 22:59!19; LUK 23:6!8
Γεννήματα	23.53	1	LUK 3:7!9
Γεννήματα	58.26	1	LUK 3:7!9
Γεννησαρὲτ	93.449b	1	LUK 5:1!22
Γενομένης	13.107	1	LUK 4:42!1
Γερασηνῶν	93.450	2	LUK 8:26!7; LUK 8:37!10
Γυναῖκα	10.54	1	LUK 14:20!4
Γύναι	9.34	1	LUK 13:12!10
Δέξαι	18.1	2	LUK 16:6!11; LUK 16:7!16
Δαιμόνιον	12.37	1	LUK 7:33!14
Δαυίδ	93.91	4	LUK 18:38!6; LUK 18:39!14; LUK 2:11!12; LUK 2:4!28
Δαυὶδ	2.26	1	LUK 2:4!16
Δαυὶδ	93.91	9	LUK 1:27!10; LUK 1:32!16; LUK 1:69!8; LUK 20:41!10; LUK 20:42!3; LUK 20:44!1; LUK 2:4!16; LUK 3:31!10; LUK 6:3!13
Δείξατέ	28.47	1	LUK 20:24!1
Δεῖ	71.34	1	LUK 9:22!3
Διέλθωμεν	15.17	1	LUK 2:15!17
Διέλθωμεν	15.31	1	LUK 8:22!20
Διδάσκαλε	33.243	12	LUK 10:25!9; LUK 11:45!8; LUK 12:13!8; LUK 18:18!7; LUK 19:39!11; LUK 20:21!5; LUK 20:28!2; LUK 20:39!7; LUK 21:7!5; LUK 3:12!10; LUK 7:40!15; LUK 9:38!9
Δοκεῖτε	31.29	1	LUK 13:2!5
Δοῦλοι	87.76	1	LUK 17:10!12
